Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
117,Super Splendor,Local,4,13,30,92.5,Hero Honda,4,Hero Honda,Local,4,10
118,Super Splendor,Local,5,13,30,92.5,Hero Honda,5,Hero Honda,Local,5,10
119,Super Splendor,Local,6,13,30,92.5,Hero Honda,6,Hero Honda,Local,6,10
120,Super Splendor,Local,7,13,30,92.5,Hero Honda,7,Hero Honda,Local,7,10
121,Super Splendor,STD,STD,13,30,92.5,Hero Honda,STD,Hero Honda,STD,STD,10
122,Super Splendor,STD,1,13,30,92.5,Hero Honda,1,Hero Honda,STD,1,10
123,Super Splendor,STD,2,13,30,92.5,Hero Honda,2,Hero Honda,STD,2,10
124,Super Splendor,STD,3,13,30,92.5,Hero Honda,3,Hero Honda,STD,3,10
125,Super Splendor,STD,4,13,30,92.5,Hero Honda,4,Hero Honda,STD,4,10
126,Super Splendor,STD,5,13,30,92.5,Hero Honda,5,Hero Honda,STD,5,10
127,Super Splendor,STD,6,13,30,92.5,Hero Honda,6,Hero Honda,STD,6,10
128,Super Splendor,STD,7,13,30,92.5,Hero Honda,7,Hero Honda,STD,7,10
129,i-Smart,Local,STD,13,30,92.5,Hero Honda,STD,Hero Honda,Local,STD,10
130,i-Smart,Local,1,13,30,92.5,Hero Honda,1,Hero Honda,Local,1,10
131,i-Smart,Local,2,13,30,92.5,Hero Honda,2,Hero Honda,Local,2,10
132,i-Smart,Local,3,13,30,92.5,Hero Honda,3,Hero Honda,Local,3,10
133,i-Smart,Local,4,13,30,92.5,Hero Honda,4,Hero Honda,Local,4,10
134,i-Smart,Local,5,13,30,92.5,Hero Honda,5,Hero Honda,Local,5,10
135,i-Smart,Local,6,13,30,92.5,Hero Honda,6,Hero Honda,Local,6,10
136,i-Smart,Local,7,13,30,92.5,Hero Honda,7,Hero Honda,Local,7,10
137,i-Smart,STD,STD,13,30,92.5,Hero Honda,STD,Hero Honda,STD,STD,10
138,i-Smart,STD,1,13,30,92.5,Hero Honda,1,Hero Honda,STD,1,10
139,i-Smart,STD,2,13,30,92.5,Hero Honda,2,Hero Honda,STD,2,10
140,i-Smart,STD,3,13,30,92.5,Hero Honda,3,Hero Honda,STD,3,10
141,i-Smart,STD,4,13,30,92.5,Hero Honda,4,Hero Honda,STD,4,10
142,i-Smart,STD,5,13,30,92.5,Hero Honda,5,Hero Honda,STD,5,10
143,i-Smart,STD,6,13,30,92.5,Hero Honda,6,Hero Honda,STD,6,10
144,i-Smart,STD,7,13,30,92.5,Hero Honda,7,Hero Honda,STD,7,10
145,Hayeat,Local,STD,13,30,92.5,Star City,STD,Hero Honda,Local,STD,10
146,Hayeat,Local,1,13,30,92.5,Star City,1,Hero Honda,Local,1,10
147,Hayeat,Local,2,13,30,92.5,Star City,2,Hero Honda,Local,2,10
148,Hayeat,Local,3,13,30,92.5,Star City,3,Hero Honda,Local,3,10
149,Hayeat,Local,4,13,30,92.5,Star City,4,Hero Honda,Local,4,10
150,Hayeat,Local,5,13,30,92.5,Star City,5,Hero Honda,Local,5,10
151,Hayeat,Local,6,13,30,92.5,Star City,6,Hero Honda,Local,6,10
152,Hayeat,Local,7,13,30,92.5,Star City,7,Hero Honda,Local,7,10
153,Hayeat,STD,STD,13,30,92.5,Star City,STD,Hero Honda,STD,STD,10
154,Hayeat,STD,1,13,30,92.5,Star City,1,Hero Honda,STD,1,10
155,Hayeat,STD,2,13,30,92.5,Star City,2,Hero Honda,STD,2,10
156,Hayeat,STD,3,13,30,92.5,Star City,3,Hero Honda,STD,3,10
157,Hayeat,STD,4,13,30,92.5,Star City,4,Hero Honda,STD,4,10
158,Hayeat,STD,5,13,30,92.5,Star City,5,Hero Honda,STD,5,10
159,Hayeat,STD,6,13,30,92.5,Star City,6,Hero Honda,STD,6,10
160,Hayeat,STD,7,13,30,92.5,Star City,7,Hero Honda,STD,7,10
161,Caliber,Local,STD,13,30,92.5,Caliber,STD,Caliber,Local,STD,10
162,Caliber,Local,1,13,30,92.5,Caliber,1,Caliber,Local,1,10
163,Caliber,Local,2,13,30,92.5,Caliber,2,Caliber,Local,2,10
164,Caliber,Local,3,13,30,92.5,Caliber,3,Caliber,Local,3,10
165,Caliber,Local,4,13,30,92.5,Caliber,4,Caliber,Local,4,10
166,Caliber,Local,5,13,30,92.5,Caliber,5,Caliber,Local,5,10
167,Caliber,Local,6,13,30,92.5,Caliber,6,Caliber,Local,6,10
168,Caliber,Local,7,13,30,92.5,Caliber,7,Caliber,Local,7,10
169,Caliber,STD,STD,13,30,92.5,Caliber,STD,Caliber,STD,STD,10
170,Caliber,STD,1,13,30,92.5,Caliber,1,Caliber,STD,1,10
171,Caliber,STD,2,13,30,92.5,Caliber,2,Caliber,STD,2,10
172,Caliber,STD,3,13,30,92.5,Caliber,3,Caliber,STD,3,10
173,Caliber,STD,4,13,30,92.5,Caliber,4,Caliber,STD,4,10
174,Caliber,STD,5,13,30,92.5,Caliber,5,Caliber,STD,5,10
175,Caliber,STD,6,13,30,92.5,Caliber,6,Caliber,STD,6,10
176,Caliber,STD,7,13,30,92.5,Caliber,7,Caliber,STD,7,10
177,CT-100,Local,STD,13,30,92.5,Caliber,STD,Caliber,Local,STD,10
178,CT-100,Local,1,13,30,92.5,Caliber,1,Caliber,Local,1,10
179,CT-100,Local,2,13,30,92.5,Caliber,2,Caliber,Local,2,10
180,CT-100,Local,3,13,30,92.5,Caliber,3,Caliber,Local,3,10
181,CT-100,Local,4,13,30,92.5,Caliber,4,Caliber,Local,4,10
182,CT-100,Local,5,13,30,92.5,Caliber,5,Caliber,Local,5,10
183,CT-100,Local,6,13,30,92.5,Caliber,6,Caliber,Local,6,10
184,CT-100,Local,7,13,30,92.5,Caliber,7,Caliber,Local,7,10
185,CT-100,STD,STD,13,30,92.5,Caliber,STD,Caliber,STD,STD,10
186,CT-100,STD,1,13,30,92.5,Caliber,1,Caliber,STD,1,10
187,CT-100,STD,2,13,30,92.5,Caliber,2,Caliber,STD,2,10
188,CT-100,STD,3,13,30,92.5,Caliber,3,Caliber,STD,3,10
189,CT-100,STD,4,13,30,92.5,Caliber,4,Caliber,STD,4,10
190,CT-100,STD,5,13,30,92.5,Caliber,5,Caliber,STD,5,10
191,CT-100,STD,6,13,30,92.5,Caliber,6,Caliber,STD,6,10
192,CT-100,STD,7,13,30,92.5,Caliber,7,Caliber,STD,7,10
193,Duro,Local,STD,13,30,92.5,Duro,STD,Caliber,Local,STD,10
194,Duro,Local,1,13,30,92.5,Duro,1,Caliber,Local,1,10
195,Duro,Local,2,13,30,92.5,Duro,2,Caliber,Local,2,10
196,Duro,Local,3,13,30,92.5,Duro,3,Caliber,Local,3,10
197,Duro,Local,4,13,30,92.5,Duro,4,Caliber,Local,4,10
198,Duro,Local,5,13,30,92.5,Duro,5,Caliber,Local,5,10
199,Duro,Local,6,13,30,92.5,Duro,6,Caliber,Local,6,10
200,Duro,Local,7,13,30,92.5,Duro,7,Caliber,Local,7,10
201,Duro,STD,STD,13,30,92.5,Duro,STD,Caliber,STD,STD,10
202,Duro,STD,1,13,30,92.5,Duro,1,Caliber,STD,1,10
203,Duro,STD,2,13,30,92.5,Duro,2,Caliber,STD,2,10
204,Duro,STD,3,13,30,92.5,Duro,3,Caliber,STD,3,10
205,Duro,STD,4,13,30,92.5,Duro,4,Caliber,STD,4,10
206,Duro,STD,5,13,30,92.5,Duro,5,Caliber,STD,5,10
207,Duro,STD,6,13,30,92.5,Duro,6,Caliber,STD,6,10
208,Duro,STD,7,13,30,92.5,Duro,7,Caliber,STD,7,10
