Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
113,Super Splendor,Local,STD,,,,Hero Honda,STD,Hero Honda,Local,STD,
114,Super Splendor,Local,1,,,,Hero Honda,1,Hero Honda,Local,1,
115,Super Splendor,Local,2,,,,Hero Honda,2,Hero Honda,Local,2,
116,Super Splendor,Local,3,,,,Hero Honda,3,Hero Honda,Local,3,
117,Super Splendor,Local,4,,,,Hero Honda,4,Hero Honda,Local,4,
118,Super Splendor,Local,5,,,,Hero Honda,5,Hero Honda,Local,5,
119,Super Splendor,Local,6,,,,Hero Honda,6,Hero Honda,Local,6,
120,Super Splendor,Local,7,,,,Hero Honda,7,Hero Honda,Local,7,
121,Super Splendor,NRB,STD,,,,Hero Honda,STD,Hero Honda,NRB,STD,
122,Super Splendor,NRB,1,,,,Hero Honda,1,Hero Honda,NRB,1,
123,Super Splendor,NRB,2,,,,Hero Honda,2,Hero Honda,NRB,2,
124,Super Splendor,NRB,3,,,,Hero Honda,3,Hero Honda,NRB,3,
125,Super Splendor,NRB,4,,,,Hero Honda,4,Hero Honda,NRB,4,
126,Super Splendor,NRB,5,,,,Hero Honda,5,Hero Honda,NRB,5,
127,Super Splendor,NRB,6,,,,Hero Honda,6,Hero Honda,NRB,6,
128,Super Splendor,NRB,7,,,,Hero Honda,7,Hero Honda,NRB,7,
129,i-Smart,Local,STD,,,,Hero Honda,STD,Hero Honda,Local,STD,
130,i-Smart,Local,1,,,,Hero Honda,1,Hero Honda,Local,1,
131,i-Smart,Local,2,,,,Hero Honda,2,Hero Honda,Local,2,
132,i-Smart,Local,3,,,,Hero Honda,3,Hero Honda,Local,3,
133,i-Smart,Local,4,,,,Hero Honda,4,Hero Honda,Local,4,
134,i-Smart,Local,5,,,,Hero Honda,5,Hero Honda,Local,5,
135,i-Smart,Local,6,,,,Hero Honda,6,Hero Honda,Local,6,
136,i-Smart,Local,7,,,,Hero Honda,7,Hero Honda,Local,7,
137,i-Smart,NRB,STD,,,,Hero Honda,STD,Hero Honda,NRB,STD,
138,i-Smart,NRB,1,,,,Hero Honda,1,Hero Honda,NRB,1,
139,i-Smart,NRB,2,,,,Hero Honda,2,Hero Honda,NRB,2,
140,i-Smart,NRB,3,,,,Hero Honda,3,Hero Honda,NRB,3,
141,i-Smart,NRB,4,,,,Hero Honda,4,Hero Honda,NRB,4,
142,i-Smart,NRB,5,,,,Hero Honda,5,Hero Honda,NRB,5,
143,i-Smart,NRB,6,,,,Hero Honda,6,Hero Honda,NRB,6,
144,i-Smart,NRB,7,,,,Hero Honda,7,Hero Honda,NRB,7,
145,Hayeat,Local,STD,,,,Star City,STD,Hero Honda,Local,STD,
146,Hayeat,Local,1,,,,Star City,1,Hero Honda,Local,1,
